date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-11-01,11.3,1.8,6.5,4.4,,2019,11
2019-11-02,6.9,-0.2,3.4,0.5,,2019,11
2019-11-03,7.2,2.7,5.0,0.0,,2019,11
2019-11-04,8.5,1.7,5.1,0.0,,2019,11
2019-11-05,9.8,3.3,6.5,6.3,,2019,11
2019-11-06,4.9,0.8,2.9,1.5,,2019,11
2019-11-07,1.5,-2.8,-0.7,6.6,,2019,11
2019-11-08,0.8,-5.2,-2.2,0.0,,2019,11
2019-11-09,2.5,-6.2,-1.9,0.0,,2019,11
2019-11-10,6.6,-1.6,2.5,0.0,,2019,11
2019-11-11,-1.6,-7.2,-4.4,6.7,,2019,11
2019-11-12,-4.8,-10.8,-7.8,4.9,12.0,2019,11
2019-11-13,-6.9,-13.1,-10.0,0.0,6.0,2019,11
2019-11-14,,,,,5.0,2019,11
2019-11-15,2.8,-10.1,-3.6,0.5,10.0,2019,11
2019-11-16,-5.1,-12.7,-8.9,0.2,7.0,2019,11
2019-11-17,-2.6,-12.7,-7.6,0.0,4.0,2019,11
2019-11-18,-0.6,-9.7,-5.2,0.0,5.0,2019,11
2019-11-19,0.2,-1.9,-0.8,2.0,5.0,2019,11
2019-11-20,1.9,-2.9,-0.5,0.4,4.0,2019,11
2019-11-21,2.9,-6.1,-1.6,1.7,7.0,2019,11
2019-11-22,7.2,-4.2,1.5,3.2,2.0,2019,11
2019-11-23,3.5,-6.1,-1.3,0.0,,2019,11
2019-11-24,1.9,-2.8,-0.5,0.0,,2019,11
2019-11-25,5.9,-1.3,2.3,0.0,,2019,11
2019-11-26,10.0,-1.9,4.1,0.0,,2019,11
2019-11-27,3.6,-3.1,0.2,14.6,,2019,11
2019-11-28,,,,,,2019,11
2019-11-29,-0.6,-8.3,-4.5,0.0,,2019,11
2019-11-30,-4.7,-10.8,-7.8,0.0,,2019,11
