date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-06-01,18.8,9.7,14.3,0.0,,2019,6
2019-06-02,18.3,11.6,14.9,6.7,,2019,6
2019-06-03,12.5,7.6,10.1,0.0,,2019,6
2019-06-04,17.9,6.9,12.4,0.0,,2019,6
2019-06-05,17.4,9.3,13.4,0.0,,2019,6
2019-06-06,23.5,10.4,17.0,0.0,,2019,6
2019-06-07,25.8,8.6,17.2,0.0,,2019,6
2019-06-08,23.4,9.5,16.4,0.0,,2019,6
2019-06-09,30.2,13.0,21.6,0.0,,2019,6
2019-06-10,30.4,16.5,23.5,4.0,,2019,6
2019-06-11,19.8,9.5,14.6,20.3,,2019,6
2019-06-12,24.3,9.4,16.9,0.0,,2019,6
2019-06-13,20.1,13.2,16.6,0.8,,2019,6
2019-06-14,17.2,13.2,15.2,5.8,,2019,6
2019-06-15,20.6,14.0,17.3,5.5,,2019,6
2019-06-16,20.8,12.6,16.7,0.0,,2019,6
2019-06-17,23.4,10.4,16.9,0.0,,2019,6
2019-06-18,26.7,11.9,19.3,0.0,,2019,6
2019-06-19,27.8,15.4,21.6,0.0,,2019,6
2019-06-20,18.8,15.4,17.1,4.2,,2019,6
2019-06-21,24.8,14.5,19.7,0.0,,2019,6
2019-06-22,26.3,14.2,20.2,0.0,,2019,6
2019-06-23,27.8,13.9,20.8,0.0,,2019,6
2019-06-24,25.9,12.9,19.4,0.0,,2019,6
2019-06-25,25.0,18.1,21.5,16.4,,2019,6
2019-06-26,28.2,17.4,22.8,0.0,,2019,6
2019-06-27,29.3,19.1,24.2,0.3,,2019,6
2019-06-28,29.7,16.3,23.0,0.0,,2019,6
2019-06-29,27.9,17.1,22.5,13.8,,2019,6
2019-06-30,23.9,15.2,19.6,3.0,,2019,6
